703,Customer#000000703,ge1GEYt4ewGUiSeqBA4rNB5JhyQ92uKF,6,"16-741-513-6919",3998.42,AUTOMOBILE,arefully final accounts cajole quickly blith
1541719,Customer#001541719,dN5DiRm17u5RiQ5JzQCJ5uPx,16,"26-417-361-3910",393.41,BUILDING,"y ruthless instructions sleep furiously after the furiously bold requests. pending, even accounts wake along "
13953773,Customer#013953773,"pzrSAk1D ,kFL9Gr,R9gjE",3,"13-631-424-6972",6750.13,MACHINERY,ray slyly. blithely bold courts are blithe
3752728,Customer#003752728,cfHDuTj7Uf8MLJvGEO8M,4,"14-406-726-7546",2088.55,HOUSEHOLD,pinto beans. carefully regular requests cajole am
13052204,Customer#013052204,lVFCNn5WQfWPTJp9wedDGFprEVjk,4,"14-367-144-3958",2272.62,FURNITURE,fully regular theodolites sleep closely even
11254387,Customer#011254387,"FWWOCGtH,SvOxQSRYk0a91W1splAMXlei",11,"21-626-772-9945",9455.11,AUTOMOBILE,lithely. carefully bold packa
4549132,Customer#004549132,V2k5hOE3jaCuh igOUEOsl1a1QCw,0,"10-386-640-1182",7831.57,BUILDING,ent packages sleep around the blithely final pinto
703,Customer#000000703,ge1GEYt4ewGUiSeqBA4rNB5JhyQ92uKF,6,"16-741-513-6919",3998.42,AUTOMOBILE,arefully final accounts cajole quickly blith
1541719,Customer#001541719,dN5DiRm17u5RiQ5JzQCJ5uPx,16,"26-417-361-3910",393.41,BUILDING,"y ruthless instructions sleep furiously after the furiously bold requests. pending, even accounts wake along "
13953773,Customer#013953773,"pzrSAk1D ,kFL9Gr,R9gjE",3,"13-631-424-6972",6750.13,MACHINERY,ray slyly. blithely bold courts are blithe
3752728,Customer#003752728,cfHDuTj7Uf8MLJvGEO8M,4,"14-406-726-7546",2088.55,HOUSEHOLD,pinto beans. carefully regular requests cajole am
13052204,Customer#013052204,lVFCNn5WQfWPTJp9wedDGFprEVjk,4,"14-367-144-3958",2272.62,FURNITURE,fully regular theodolites sleep closely even
11254387,Customer#011254387,"FWWOCGtH,SvOxQSRYk0a91W1splAMXlei",11,"21-626-772-9945",9455.11,AUTOMOBILE,lithely. carefully bold packa
